Order Id,Order Date,Month,Customer,Invoice Id,Product Id,Product Name,Qty,Rate,Net Amount,Tax Type,TAX,Tax Amount,Amount
11151,42616,Sep,Customer 2,11139,11129,BLACK GRAM/BLACK CHANA 1KG,6,108,648,  ,0,0,648
11151,42616,Sep,Customer 2,11139,10409,URAD DAl WHITE 1 KG,5,140,700,  ,0,0,700
11151,42616,Sep,Customer 2,11139,ITEM-TEAPOWDERTWO1KG,TEA POWDER (2) 1KG,0.5,246,123,  ,0,0,123
11151,42616,Sep,Customer 2,11139,11130,GREEN PEAS 1KG,15,89,1335,  ,0,0,1335
11151,42616,Sep,Customer 2,11139,10290,SWEET CORN 1 KG,10,69,690,  ,0,0,690
11151,42616,Sep,Customer 2,11139,11340,Catch Kashmiri Chilli 1 Kg,1,340.68,340.68,  ,0,0,340.68
11151,42616,Sep,Customer 2,11139,ITEM-MTR_VERMICELLI_1KG,MTR - VERMICELLI 1KG,4,50,200,  ,0,0,200
11151,42616,Sep,Customer 2,11139,10764,JEERA 1KG,2,204,408,  ,0,0,408
11150,42616,Sep,Customer 3,11138,10040,FOOD COLOUR - KESAR 1PC,1,47,47,  ,0,0,47
11164,42620,Sep,Customer 2,11151,11213,SUNPOWER 15KG TIN,1,1175,1175,  ,0,0,1175
11164,42620,Sep,Customer 2,11151,11132,GRAM FLOUR 1KG,3,76,228,  ,0,0,228
11178,42623,Sep,Customer 2,11166,10546,MUSTARD OIL 1LTR -DHARA,3,129,387,  ,0,0,387
11178,42623,Sep,Customer 2,11166,10559,Atta (1)  50kg,1,1225,1225,  ,0,0,1225
11178,42623,Sep,Customer 2,11166,11132,GRAM FLOUR 1KG,3,80,240,  ,0,0,240
11178,42623,Sep,Customer 2,11166,11273,APPLAM PAPPAD 1 KG,3,250,750,  ,0,0,750
11178,42623,Sep,Customer 2,11166,ITEM-CORN_FLOUR_1KG_PKT,CORN FLOUR 1KG PKT,5,40.26,201.3,  ,0,0,201.3
11178,42623,Sep,Customer 2,11166,10401,SALT 1 KG,10,11,110,  ,0,0,110
11178,42623,Sep,Customer 2,11166,ITEM-GRAM_DAL_10KG,GRAM DAL/CHANA DAL Q(1) 10KG,1,1050,1050,  ,0,0,1050
11178,42623,Sep,Customer 2,11166,ITEM-TOORDAL21KG,TOOR DAL(2) 1KG,6,120,720,  ,0,0,720
11178,42623,Sep,Customer 2,11166,11125,GHEE NANDINI 1LTR,4,375,1500,  ,0,0,1500
11178,42623,Sep,Customer 2,11166,11496,MDH - DEGGI MIRCH POWDER 500GM,2,238.5,477,  ,0,0,477
11178,42623,Sep,Customer 2,11166,10862,WHITE PEPPER POWDER 1KG,0.2,196,39.2,  ,0,0,39.2
11178,42623,Sep,Customer 2,11166,11343,Catch Chat Masala 1 Kg,1,267.95,267.95,  ,0,0,267.95
11178,42623,Sep,Customer 2,11166,11423,Catch Jeera Powder - 1 Kg,1,319.67,319.67,  ,0,0,319.67
11178,42623,Sep,Customer 2,11166,ITEM-MDH_GARAM_MASALA,MDH - GARAM MASALA 500GM,2,310.5,621,  ,0,0,621
11178,42623,Sep,Customer 2,11166,ITEM-MTR_SAMBAR_POWDER_200GM,MTR SAMBAR POWDER 200GM,3,70,210,  ,0,0,210
11178,42623,Sep,Customer 2,11166,ITEM-MOONGDAL1KG,MOONG DAL 1KG,1,80,80,  ,0,0,80
11178,42623,Sep,Customer 2,11166,10221,AVALAKKI/POHA THICK 1 Kg,4,37,148,  ,0,0,148
11178,42623,Sep,Customer 2,11166,10240,RAVA 1 KG,5,32,160,  ,0,0,160
11178,42623,Sep,Customer 2,11166,10210,VERMICELI 1 Kg,3,58,174,  ,0,0,174
11178,42623,Sep,Customer 2,11166,11129,BLACK GRAM/BLACK CHANA 1KG,3,108,324,  ,0,0,324
11178,42623,Sep,Customer 2,11166,10409,URAD DAl WHITE 1 KG,8,140,1120,  ,0,0,1120
11178,42623,Sep,Customer 2,11166,10764,JEERA 1KG,1,204,204,  ,0,0,204
11178,42623,Sep,Customer 2,11166,11130,GREEN PEAS 1KG,10,89,890,  ,0,0,890
11178,42623,Sep,Customer 2,11166,10290,SWEET CORN 1 KG,5,69,345,  ,0,0,345
11178,42623,Sep,Customer 2,11166,ITEM-GROUNDNUTS500GM,GROUND NUTS 500GM,4,61,244,  ,0,0,244
11178,42623,Sep,Customer 2,11166,11342,Catch Turmeric Powder 1 Kg,2,173.02,346.04,  ,0,0,346.04
11178,42623,Sep,Customer 2,11166,10466,Basumathi Rice 25kg,4,1725,6900,  ,0,0,6900
11178,42623,Sep,Customer 2,11166,11360,CHILLY(chilli ) -DRY GUNDUR 1 KG,3,202,606,  ,0,0,606
11178,42623,Sep,Customer 2,11166,10562,Maida (2)  50kg,1,1350,1350,  ,0,0,1350
11178,42623,Sep,Customer 2,11166,ITEM-FRIEDGRAM1KG,FRIED GRAM QUALITY(1) 1KG,2,120,240,  ,0,0,240
11178,42623,Sep,Customer 2,11166,10484,IDLI RICE 25KG,0.4,750,300,  ,0,0,300
11178,42623,Sep,Customer 2,11166,ITEM-MTR_PULIOGARE200gm,MTR PULIOGARE 200GM,2,63,126,  ,0,0,126
11178,42623,Sep,Customer 2,11166,10820,MUSTARD BIG 1KG,1,76,76,  ,0,0,76
11178,42623,Sep,Customer 2,11166,ITEM-ITEM-BLACK PEPPER WHOLE,BLACK PEPPER WHOLE 1 KG,1,800,800,  ,0,0,800
11178,42623,Sep,Customer 2,11166,10513,BABY CASHEW (1) 1KG,5,460,2300,  ,0,0,2300
11178,42623,Sep,Customer 2,11166,ITEM-CM_MAGAJ_SEEDS,MAGAJ SEEDS 1KG,10,192,1920,  ,0,0,1920
11178,42623,Sep,Customer 2,11166,11213,SUNPOWER 15KG TIN,4,1175,4700,  ,0,0,4700
11206,42630,Sep,Customer 2,11194,11213,SUNPOWER 15KG TIN,4,1175,4454.98,VAT,5.5,245.02,4700
11206,42630,Sep,Customer 2,11194,ITEM-GROUNDNUTS500GM,GROUND NUTS 500GM,4,61,213.1,VAT,14.5,30.9,244
11206,42630,Sep,Customer 2,11194,10484,IDLI RICE 25KG,0.5,725,362.5,VAT,0,0,362.5
11201,42629,Sep,Customer 3,11189,10401,SALT 1 KG,25,11,275,  ,0,0,275
11201,42629,Sep,Customer 3,11189,11216,TOMATO SAUCE 1KG,10,41,388.63,VAT,5.5,21.37,410
11201,42629,Sep,Customer 3,11189,ITEM-VINEGARBOTTLE1PC,VINEGAR BOTTLE 1PC,5,18,85.31,VAT,5.5,4.69,90
11201,42629,Sep,Customer 3,11189,11193,ATTA Q(3)  50KG,1,1225,1225,VAT,0,0,1225
11201,42629,Sep,Customer 3,11189,10042,KEORA WATER BOTTLE 1PC,5,54,255.92,VAT,5.5,14.08,270
11201,42629,Sep,Customer 3,11189,11130,GREEN PEAS 1KG,5,89,421.8,VAT,5.5,23.2,445
11201,42629,Sep,Customer 3,11189,ITEM-CORN_FLOUR_1KG_PKT,CORN FLOUR 1KG PKT,10,40,379.15,VAT,5.5,20.85,400
11201,42629,Sep,Customer 3,11189,11213,SUNPOWER 15KG TIN,5,1175,5568.72,VAT,5.5,306.28,5875
11201,42629,Sep,Customer 3,11189,11127,KABUL CHANA (1) 1KG,10,130,1232.23,VAT,5.5,67.77,1300
11203,42629,Sep,Customer 2,11191,10294,MDH-DEGGI MIRCH POWDER 100 GM,20,48.6,921.33,VAT,5.5,50.67,972
11203,42629,Sep,Customer 2,11191,10141,PANEER1KG,10,249,2490,VAT,0,0,2490
11203,42629,Sep,Customer 2,11191,10011,SOYA SAUCE LIGHT 1PC,2,41,77.73,VAT,5.5,4.27,82
11203,42629,Sep,Customer 2,11191,11130,GREEN PEAS 1KG,10,89,843.6,VAT,5.5,46.4,890
11203,42629,Sep,Customer 2,11191,10290,SWEET CORN 1 KG,5,69,327.01,VAT,5.5,17.99,345
11203,42629,Sep,Customer 2,11191,10764,JEERA 1KG,1,204,193.36,VAT,5.5,10.64,204
11203,42629,Sep,Customer 2,11191,10409,URAD DAl WHITE 1 KG,8,140,1061.61,VAT,5.5,58.39,1120
11203,42629,Sep,Customer 2,11191,ITEM-FRIEDGRAM1KG,FRIED GRAM QUALITY(1) 1KG,3,120,341.23,VAT,5.5,18.77,360
11203,42629,Sep,Customer 2,11191,ITEM-MTR_VERMICELLI_1KG,MTR - VERMICELLI 1KG,2,54,102.37,VAT,5.5,5.63,108
11203,42629,Sep,Customer 2,11191,10221,AVALAKKI/POHA THICK 1 Kg,3,37,111,VAT,0,0,111
11203,42629,Sep,Customer 2,11191,ITEM-MTR_SAMBAR_POWDER_200GM,MTR SAMBAR POWDER 200GM,2,70,132.7,VAT,5.5,7.3,140
11203,42629,Sep,Customer 2,11191,11423,Catch Jeera Powder - 1 Kg,2,319.67,639.34,VAT,0,0,639.34
11203,42629,Sep,Customer 2,11191,11332,Catch Dhaniya Powder 1 Kg,3,179.35,510,VAT,5.5,28.05,538.05
11203,42629,Sep,Customer 2,11191,11341,Catch Red Chilli Powder 1 Kg,3,196.86,590.58,VAT,2,11.81,590.58
11203,42629,Sep,Customer 2,11191,10560,Atta (2) 50kg,1,1225,1225,VAT,0,0,1225
11203,42629,Sep,Customer 2,11191,11274,GREEN PEAS DRY 1 KG,5,44,220,  ,0,0,220
11203,42629,Sep,Customer 2,11191,11214,SUGAR 1KG,50,40,2000,  ,0,0,2000
11203,42629,Sep,Customer 2,11191,10546,MUSTARD OIL 1LTR -DHARA,2,129,244.55,VAT,5.5,13.45,258
11203,42629,Sep,Customer 2,11191,ITEM-MOONGDAL1KG,MOONG DAL (SPLIT) 1KG,1,85,80.57,VAT,5.5,4.43,85
11203,42629,Sep,Customer 2,11191,10050,SOYA BEAN 1KG,3,63,179.15,VAT,5.5,9.85,189
